,Whether,Temperature,Play
1,Sunny,Hot,No
2,Sunny,Hot,No
3,Overcast,Hot,Yes
4,Rainy,Mild,Yes
5,Rainy,Cool,Yes
6,Rainy,Cool,No
7,Overcast,Cool,Yes
8,Sunny,Mild,No
9,Sunny,Cool,Yes
10,Rainy,Mild,Yes
11,Sunny,Mild,Yes
12,Overcast,Mild,Yes
13,Overcast,Hot,Yes
14,Rainy,Mild,No
15,Rainy,Mild,Yes
16,Rainy,Cool,Yes
17,Rainy,Cool,No
18,Overcast,Cool,Yes
19,Sunny,Mild,No
20,Sunny,Cool,Yes
21,Rainy,Mild,Yes
22,Sunny,Mild,Yes
23,Sunny,Hot,No
24,Sunny,Hot,No
25,Overcast,Hot,Yes
26,Rainy,Mild,Yes
27,Rainy,Cool,Yes
28,Overcast,Cool,Yes
29,Sunny,Mild,No
30,Sunny,Cool,Yes
